host,policy_id,standard,status,detail
9.251.108.218,P-0001,ISO27001,PASS,TLS>=1.2 enforced
216.167.21.252,P-0002,NIST-CSF,PASS,MFA enabled
173.153.184.110,P-0003,SOC2,FAIL,MFA enabled
114.141.69.52,P-0004,SOC2,PASS,MFA enabled
158.1.151.220,P-0005,ISO27001,PASS,MFA enabled
165.103.33.183,P-0006,NIST-CSF,PASS,TLS>=1.2 enforced
90.161.239.78,P-0007,SOC2,PASS,MFA enabled
52.164.250.73,P-0008,SOC2,PASS,MFA enabled
177.83.222.9,P-0009,SOC2,PASS,TLS>=1.2 enforced
239.183.147.182,P-0010,SOC2,PASS,TLS>=1.2 enforced
150.12.225.233,P-0011,SOC2,PASS,MFA enabled
90.130.246.8,P-0012,SOC2,PASS,SSH root disabled
58.146.153.39,P-0013,ISO27001,PASS,SSH root disabled
12.146.2.179,P-0014,NIST-CSF,PASS,MFA enabled
37.45.169.141,P-0015,ISO27001,PASS,TLS>=1.2 enforced
103.69.18.190,P-0016,NIST-CSF,PASS,SSH root disabled
151.142.149.81,P-0017,NIST-CSF,PASS,SSH root disabled
180.65.70.123,P-0018,SOC2,FAIL,SSH root disabled
79.168.101.9,P-0019,SOC2,FAIL,TLS>=1.2 enforced
45.88.236.216,P-0020,NIST-CSF,PASS,MFA enabled
205.131.226.34,P-0021,ISO27001,PASS,MFA enabled
97.96.86.136,P-0022,NIST-CSF,PASS,MFA enabled
126.123.198.128,P-0023,NIST-CSF,PASS,SSH root disabled
115.50.39.197,P-0024,SOC2,FAIL,MFA enabled
204.3.88.173,P-0025,ISO27001,FAIL,SSH root disabled
131.58.203.169,P-0026,NIST-CSF,FAIL,TLS>=1.2 enforced
134.15.239.56,P-0027,SOC2,PASS,MFA enabled
78.34.18.221,P-0028,ISO27001,PASS,SSH root disabled
246.237.57.185,P-0029,SOC2,PASS,MFA enabled
14.37.153.205,P-0030,SOC2,FAIL,MFA enabled
180.4.246.75,P-0031,NIST-CSF,PASS,MFA enabled
242.29.32.161,P-0032,SOC2,PASS,TLS>=1.2 enforced
20.94.108.95,P-0033,NIST-CSF,FAIL,TLS>=1.2 enforced
217.109.153.232,P-0034,NIST-CSF,FAIL,MFA enabled
77.101.11.12,P-0035,NIST-CSF,FAIL,SSH root disabled
231.79.189.244,P-0036,ISO27001,PASS,TLS>=1.2 enforced
148.81.155.136,P-0037,ISO27001,FAIL,MFA enabled
61.208.57.179,P-0038,SOC2,FAIL,TLS>=1.2 enforced
209.137.223.209,P-0039,SOC2,FAIL,MFA enabled
92.125.247.113,P-0040,ISO27001,FAIL,MFA enabled
110.56.77.109,P-0041,SOC2,PASS,TLS>=1.2 enforced
203.17.57.85,P-0042,ISO27001,FAIL,MFA enabled
120.92.232.235,P-0043,SOC2,FAIL,MFA enabled
