host,issue_id,severity,issue,finding,remediation
114.210.246.246,VULN-00001,MEDIUM,config_issue,Open port exposed,Apply patch
20.175.23.73,VULN-00002,LOW,open_port,Misconfig found,Apply patch
243.67.80.142,VULN-00003,LOW,config_issue,Misconfig found,Restrict port
58.241.238.101,VULN-00004,LOW,weak_cipher,Open port exposed,Restrict port
92.98.25.130,VULN-00005,LOW,weak_cipher,Weak cipher detected,Apply patch
97.154.197.15,VULN-00006,MEDIUM,config_issue,Misconfig found,Fix config
145.214.210.242,VULN-00007,MEDIUM,config_issue,Misconfig found,Fix config
134.48.254.229,VULN-00008,LOW,open_port,Open port exposed,Restrict port
207.5.157.14,VULN-00009,LOW,config_issue,Misconfig found,Restrict port
218.27.112.253,VULN-00010,HIGH,open_port,Open port exposed,Fix config
189.36.5.17,VULN-00011,CRITICAL,config_issue,Open port exposed,Restrict port
254.166.61.244,VULN-00012,LOW,weak_cipher,Misconfig found,Apply patch
189.124.205.8,VULN-00013,HIGH,config_issue,Open port exposed,Apply patch
99.66.83.88,VULN-00014,MEDIUM,weak_cipher,Misconfig found,Restrict port
34.248.95.37,VULN-00015,HIGH,open_port,Weak cipher detected,Fix config
199.29.73.180,VULN-00016,MEDIUM,weak_cipher,Misconfig found,Restrict port
117.202.149.100,VULN-00017,LOW,open_port,Weak cipher detected,Restrict port
90.109.22.67,VULN-00018,MEDIUM,open_port,Weak cipher detected,Restrict port
245.221.252.194,VULN-00019,HIGH,config_issue,Weak cipher detected,Fix config
222.20.85.82,VULN-00020,LOW,open_port,Misconfig found,Restrict port
177.118.26.233,VULN-00021,HIGH,open_port,Misconfig found,Apply patch
9.71.129.7,VULN-00022,LOW,config_issue,Open port exposed,Apply patch
39.94.39.250,VULN-00023,HIGH,open_port,Weak cipher detected,Fix config
12.110.63.115,VULN-00024,LOW,open_port,Weak cipher detected,Fix config
241.135.38.174,VULN-00025,MEDIUM,open_port,Open port exposed,Fix config
70.238.53.78,VULN-00026,LOW,open_port,Weak cipher detected,Restrict port
19.212.22.2,VULN-00027,CRITICAL,config_issue,Weak cipher detected,Fix config
151.232.140.140,VULN-00028,HIGH,open_port,Misconfig found,Restrict port
118.173.10.119,VULN-00029,LOW,config_issue,Misconfig found,Apply patch
179.197.141.229,VULN-00030,CRITICAL,config_issue,Weak cipher detected,Fix config
50.91.67.129,VULN-00031,HIGH,weak_cipher,Misconfig found,Fix config
187.246.113.147,VULN-00032,LOW,weak_cipher,Weak cipher detected,Apply patch
226.67.24.53,VULN-00033,MEDIUM,config_issue,Misconfig found,Restrict port
222.175.124.168,VULN-00034,CRITICAL,config_issue,Weak cipher detected,Restrict port
184.111.251.174,VULN-00035,HIGH,config_issue,Open port exposed,Apply patch
128.78.51.208,VULN-00036,CRITICAL,weak_cipher,Misconfig found,Fix config
215.232.180.41,VULN-00037,LOW,weak_cipher,Misconfig found,Fix config
